접수일자,제작사,차명,모델년도
2019-01-28,KG 모빌리티,티볼리,2016
2019-01-28,아우디폭스바겐코리아,A5 Sportback 35 TDI quattro,2015
2019-01-28,KG 모빌리티,코란도스포츠,2015
2019-01-28,한국토요타자동차,토요타 CAMRY Hybrid,2012
2019-01-28,한불모터스,푸조 508 1.6 e-HDi,2014
2019-01-28,현대자동차,싼타페,2002
2019-01-28,크라이슬러코리아,짚 체로키 2.4,2016
2019-01-28,현대자동차,쏘나타 하이브리드(SONATA HYBRID),2016
2019-01-28,현대자동차,그랜저(GRANDEUR),2011
2019-01-28,한국지엠,라세티5 AT,2008
2019-01-28,한국토요타자동차,렉서스 ES300h,2019
2019-01-28,현대자동차,그랜저(GRANDEUR),2011
2019-01-29,한국지엠,윈스톰2.0S디젤,2008
2019-01-29,기아,봉고Ⅲ 플러스내장차,2016
2019-01-29,미상,쓰리축코리아7.5톤극플러스트럭,2018
2019-01-29,지엠코리아,캐딜락 CT6 2.0T,2018
2019-01-29,한국토요타자동차,렉서스 ES300h,2019
2019-01-29,현대자동차,싼타페(SANTAFE),2011
2019-01-29,한국지엠,말리부 1.5 TURBO,2017
2019-01-29,한국지엠,크루즈 1.8 DOHC,2013
2019-01-29,르노코리아,QM3,2015
2019-01-29,현대자동차,코나 일렉트릭 (KONA ELECTRIC),2019
2019-01-29,한국지엠,올란도 2.0 LPG,2013
2019-01-29,한국지엠,말리부 1.5 TURBO,2017
2019-01-30,기아,프라이드,2014
2019-01-30,아우디폭스바겐코리아,Golf 1.6 TDI BMT,2013
2019-01-30,명성ENG,명성코란도언더리프트,2017
2019-01-30,KG 모빌리티,코란도C,2012
2019-01-30,한국토요타자동차,렉서스 ES300h,2019
2019-01-30,현대자동차,아반떼 (AVANTE),2012
2019-01-30,BMW,BMW 520d,2014
2019-01-31,포드,Lincoln Town-Continental 3.0 AWD,2017
2019-01-31,기아,모닝,2009
2019-01-31,현대자동차,아이오닉 하이브리드(IONIQ HYBRID),2018
2019-01-31,KG 모빌리티,티볼리,2018
2019-01-31,르노코리아,SM3,2010
2019-01-31,재규어랜드로버코리아,디스커버리 스포츠 2.0D,2016
2019-01-31,현대자동차,쏘나타 (SONATA),2011
2019-01-31,기아,쏘렌토,2016
2019-01-31,BMW,BMW 520d xDrive,2017
2019-01-31,기아,스포티지,2005
2019-02-01,만트럭버스코리아,TGX,2013
2019-02-01,한국지엠,스파크 1.0,2017
2019-02-01,BMW,BMW 520d xDrive,2017
2019-02-01,BMW,MINI Cooper D Clubman,2014
2019-02-01,메르세데스-벤츠,C200,2017
2019-02-01,현대자동차,그랜저(GRANDEUR),2019
2019-02-01,아우디폭스바겐코리아,Tiguan 2.0 TDI Blue Motion,2015
2019-02-01,KG 모빌리티,G4 렉스턴,2018
2019-02-07,한국지엠,크루즈 1.8 DOHC,2014
2019-02-07,볼보자동차코리아,볼보 V40D4,2016
2019-02-07,현대자동차,쏘나타 (SONATA),2011
2019-02-07,메르세데스-벤츠,CLS400 d 4Matic,2019
2019-02-07,현대자동차,에쿠스(EQUUS),2015
2019-02-07,현대자동차,그랜저(GRANDEUR),2010
2019-02-07,현대자동차,투싼(TUCSON),2019
2019-02-07,BMW,BMW 520d,2013
2019-02-07,기아,스포티지,2011
2019-02-07,현대자동차,아반떼 (AVANTE),2012
2019-02-07,한국지엠,올란도 2.0 LPG,2013
2019-02-07,미상,D2,2018
2019-02-07,KG 모빌리티,코란도스포츠,2012
2019-02-07,기아,K5 하이브리드,2019
2019-02-07,현대자동차,투싼(TUCSON),2014
2019-02-07,메르세데스-벤츠,S400 d 4Matic L,2018
2019-02-07,볼보자동차코리아,볼보 XC90D5 AWD,2018
2019-02-07,현대자동차,쏘나타 하이브리드(SONATA HYBRID),2018
2019-02-07,한불모터스,푸조 508 1.6 e-HDi,2015
2019-02-07,기아,쏘렌토,2015
2019-02-08,한국닛산,ALTIMA 2.5,2010
2019-02-08,한국지엠,올란도 2.0 LPG,2013
2019-02-08,크라이슬러코리아,짚 레니게이드 2.4,2018
2019-02-08,기아,K5,2019
2019-02-08,한국지엠,스파크 1.0 DOHC,2014
2019-02-08,현대자동차,그랜저(GRANDEUR),2019
2019-02-08,현대자동차,쏘나타 (SONATA),2012
2019-02-08,아우디폭스바겐코리아,CC 2.0 TDI Blue Motion,2012
2019-02-08,기아,스포티지,2016
2019-02-08,한국지엠,크루즈 2.0 디젤,2013
2019-02-08,현대자동차,쏘나타 하이브리드(SONATA HYBRID),2015
2019-02-11,현대자동차,에쿠스(EQUUS),2015
2019-02-11,현대자동차,쏘나타 (SONATA),2011
2019-02-11,BMW,BMW 530i xDrive,2018
2019-02-11,한국지엠,크루즈 1.8 DOHC,2014
2019-02-11,르노코리아,QM6,2017
2019-02-11,한국지엠,말리부 1.5 TURBO,2018
2019-02-11,케이알모터스,COMET,2017
2019-02-11,르노코리아,SM6,2016
2019-02-11,한국닛산,Qashqai,2015
2019-02-11,기아,K5,2011
2019-02-11,한국지엠,말리부 1.5 TURBO,2017
2019-02-11,재규어랜드로버코리아,레인지로버 벨라 D300,2018
2019-02-11,현대자동차,투싼(TUCSON),2007
2019-02-11,현대자동차,아반떼,1997
2019-02-11,기아,쏘렌토,2013
2019-02-11,재규어랜드로버코리아,재규어 XE 2.0D,2016
2019-02-11,한불모터스,Peugeot 2008 1.6 e-HDi,2016
2019-02-11,한국지엠,라세티 1.8 DOHC,2010
2019-02-11,르노코리아,SM5,2013
2019-02-11,기아,포르테,2010
2019-02-11,현대자동차,아반떼(AVANTE),2017
2019-02-12,한국토요타자동차,렉서스 ES300h,2019
2019-02-12,한국토요타자동차,렉서스 ES300h,2019
2019-02-12,현대자동차,쏘나타 (SONATA),2010
2019-02-12,현대자동차,쏘나타 (SONATA),2012
2019-02-12,현대자동차,쏘나타 (SONATA),2011
2019-02-12,한국토요타자동차,렉서스 ES300h,2019
2019-02-12,BMW,BMW 320d,2012
2019-02-12,BMW,BMW 640d xDrive Gran Coupe,2014
2019-02-12,르노코리아,SM6,2019
2019-02-12,현대자동차,포터Ⅱ윙바디 (PORTER Ⅱ),2018
2019-02-12,KG 모빌리티,코란도스포츠,2014
2019-02-12,BMW,BMW 520d,2011
2019-02-12,기아,K5,2015
2019-02-12,기아,쏘렌토,2015
2019-02-12,기아,오피러스,2007
2019-02-12,아우디폭스바겐코리아,Tiguan 2.0 TDI Blue Motion,2014
2019-02-13,KG 모빌리티,카이런,2008
2019-02-13,현대자동차,쏘나타 (SONATA),2012
2019-02-13,혼다코리아,PILOT,2017
2019-02-13,한국토요타자동차,렉서스 ES300h,2019
2019-02-13,KG 모빌리티,코란도C,2011
2019-02-13,기아,K5,2013
2019-02-13,지엠대우오토앤테크놀로지,CHEVROLET EQUINOX AWD,2019
2019-02-13,한국지엠,크루즈 1.8 DOHC,2013
2019-02-13,현대자동차,쏘나타(SONATA),2019
2019-02-13,현대자동차,스타렉스엘피지9인오토,2000
2019-02-13,한국상용트럭,한국상용21톤윙바디트럭,2018
2019-02-13,재규어랜드로버코리아,디스커버리4 3.0D,2015
2019-02-13,한국토요타자동차,렉서스 ES300h,2019
2019-02-13,BMW,BMW 118d,2015
2019-02-13,기아,K5 하이브리드,2019
2019-02-13,현대자동차,i40 Saloon,2014
2019-02-13,한국토요타자동차,렉서스 ES300h,2019
2019-02-13,르노코리아,SM5,2008
2019-02-13,한국토요타자동차,렉서스 ES300h,2019
2019-02-13,한국지엠,말리부 1.5 TURBO,2017
2019-02-13,기아,쏘렌토,2018
2019-02-13,한국지엠,말리부 1.5 TURBO,2017
2019-02-13,KG 모빌리티,액티언스포츠,2010
2019-02-13,한국토요타자동차,렉서스 ES300h,2019
2019-02-14,현대자동차,쏘나타 하이브리드(SONATA HYBRID),2019
2019-02-14,만트럭버스코리아,TGX,2016
2019-02-14,르노코리아,QM6,2019
2019-02-14,한국토요타자동차,렉서스 ES300h,2019
2019-02-14,한국토요타자동차,렉서스 ES300h,2019
2019-02-14,기아,K5,2011
2019-02-14,포드,Lincoln MKC 2.0 AWD,2017
2019-02-14,한국토요타자동차,렉서스 ES300h,2019
2019-02-14,한국토요타자동차,렉서스 ES300h,2019
2019-02-14,현대자동차,제네시스(GENESIS),2008
2019-02-14,한국토요타자동차,렉서스 ES300h,2019
2019-02-14,볼보자동차코리아,볼보 V90CCD5 AWD,2018
2019-02-15,현대자동차,싼타페(SANTAFE),2012
2019-02-15,만트럭버스코리아,TGX,2017
2019-02-15,기아,K5,2019
2019-02-15,현대자동차,포터Ⅱ (PORTERⅡ),2017
2019-02-15,현대자동차,아반떼 (AVANTE),2014
2019-02-15,현대자동차,싼타페(SANTAFE),2012
2019-02-15,현대자동차,쏘나타 (SONATA),2011
2019-02-15,기아,쏘렌토,2014
2019-02-15,한국토요타자동차,렉서스 ES300h,2019
2019-02-15,볼보자동차코리아,볼보 XC60T6 AWD,2018
2019-02-15,한국지엠,말리부 2.0 DOHC,2015
2019-02-15,한국토요타자동차,렉서스 ES300h,2019
2019-02-15,한국토요타자동차,렉서스 ES300h,2019
2019-02-15,BMW,BMW 520d,2012
2019-02-15,기아,스팅어,2018
2019-02-15,한국토요타자동차,렉서스 ES300h,2019
2019-02-18,현대자동차,제네시스(GENESIS),2009
2019-02-18,한국토요타자동차,렉서스 ES300h,2019
2019-02-18,한국토요타자동차,렉서스 ES300h,2019
2019-02-18,한국토요타자동차,렉서스 ES300h,2019
2019-02-18,기아,카니발,2018
2019-02-18,한국토요타자동차,렉서스 ES300h,2019
2019-02-18,만트럭버스코리아,TGX,2016
2019-02-18,현대자동차,그랜저(GRANDEUR),2013
2019-02-18,기아,카니발,2016
2019-02-18,현대자동차,쏘나타 하이브리드(SONATA HYBRID),2016
2019-02-18,기아,K7,2017
2019-02-18,한국지엠,알페온2.4DOHC,2013
2019-02-18,한국토요타자동차,렉서스 ES300h,2019
2019-02-18,한국토요타자동차,렉서스 ES300h,2019
2019-02-18,한국토요타자동차,렉서스 ES300h,2019
2019-02-19,BMW,BMW 320d,2011
2019-02-19,현대자동차,그랜저(GRANDEUR),2015
2019-02-19,현대자동차,쏘나타 (SONATA),2011
2019-02-19,한국토요타자동차,렉서스 ES300h,2019
2019-02-19,기아,쏘렌토,2011
2019-02-19,현대자동차,싼타페(SANTAFE),2019
2019-02-19,현대자동차,싼타페(SANTAFE),2019
2019-02-19,BMW,BMW 520d,2017
2019-02-19,한국토요타자동차,렉서스 ES300h,2019
2019-02-19,한국토요타자동차,렉서스 ES300h,2019
2019-02-19,한국토요타자동차,렉서스 ES300h,2019
2019-02-19,한국토요타자동차,렉서스 ES300h,2019
2019-02-19,기아,모닝,2012
2019-02-19,현대자동차,쏘나타(SONATA),2016
2019-02-19,대림자동차공업,CB115,2018
2019-02-19,한국토요타자동차,렉서스 ES300h,2019
2019-02-19,르노코리아,SM6,2016
2019-02-19,볼보자동차코리아,볼보 XC60D5 AWD,2018
2019-02-19,현대자동차,아반떼 스포츠(AVANTE SPORT),2018
2019-02-19,현대자동차,쏘나타(SONATA),2015
2019-02-19,현대자동차,제네시스(GENESIS),2009
2019-02-19,한국토요타자동차,렉서스 ES300h,2019
2019-02-20,포르쉐코리아,포르쉐 카이엔 터보,2008
2019-02-20,만트럭버스코리아,TGX,2017
2019-02-20,한국토요타자동차,렉서스 ES300h,2019
2019-02-20,한국토요타자동차,렉서스 ES300h,2019
2019-02-20,혼다코리아,ACCORD HYBRID,2017
2019-02-20,아우디폭스바겐코리아,Golf 2.0 TDI BMT,2014
