received_date,manufacturer_name,model_name,model_year,vehicle_type
2019-05-31,기아,니로 하이브리드,2017,SUV
2019-06-03,현대자동차,투싼(TUCSON),2016,SUV
2019-06-03,기아,카니발,2007,MPV/미니밴
2019-06-03,기아,카니발,2015,MPV/미니밴
2019-06-03,기아,쏘렌토,2019,SUV
2019-06-04,현대자동차,투싼(TUCSON),2016,SUV
2019-06-04,현대자동차,투싼(TUCSON),2016,SUV
2019-06-04,KG 모빌리티,티볼리,2016,SUV
2019-06-04,현대자동차,투싼(TUCSON),2016,SUV
2019-06-04,기아,쏘렌토,2017,SUV
2019-06-04,KG 모빌리티,티볼리,2019,SUV
2019-06-05,현대자동차,싼타페(SANTAFE),2019,SUV
2019-06-05,현대자동차,투싼(TUCSON),2016,SUV
2019-06-07,현대자동차,팰리세이드(PALISADE),2019,SUV
2019-06-07,현대자동차,투싼(TUCSON),2016,SUV
2019-06-10,KG 모빌리티,렉스턴스포츠 칸,2019,SUV
2019-06-10,현대자동차,투싼(TUCSON),2016,SUV
2019-06-10,KG 모빌리티,G4 렉스턴,2019,SUV
2019-06-10,KG 모빌리티,G4 렉스턴,2018,SUV
2019-06-10,현대자동차,투싼(TUCSON),2016,SUV
2019-06-11,현대자동차,투싼(TUCSON),2016,SUV
2019-06-11,르노코리아,QM6,2019,SUV
2019-06-12,기아,쏘렌토,2017,SUV
2019-06-12,메르세데스 벤츠,GLC350 e 4Matic,2019,SUV
2019-06-12,KG 모빌리티,렉스턴스포츠,2019,SUV
2019-06-12,KG 모빌리티,렉스턴스포츠 칸,2019,SUV
2019-06-13,르노코리아,QM3,2014,SUV
2019-06-13,현대자동차,코나 일렉트릭 (KONA ELECTRIC),2019,SUV
2019-06-13,현대자동차,싼타페(SANTAFE),2014,SUV
2019-06-13,기아,쏘렌토,2011,SUV
2019-06-13,현대자동차,싼타페(SANTAFE),2013,SUV
2019-06-14,기아,스포티지,2017,SUV
2019-06-14,현대자동차,투싼(TUCSON),2016,SUV
2019-06-17,KG 모빌리티,렉스턴스포츠,2019,SUV
2019-06-17,기아,니로 하이브리드,2018,SUV
2019-06-17,기아,니로 하이브리드,2020,SUV
2019-06-18,르노코리아,QM6,2017,SUV
2019-06-18,메르세데스 벤츠,GLC350 e 4Matic,2019,SUV
2019-06-18,KG 모빌리티,티볼리,2019,SUV
2019-06-19,기아,쏘렌토,2018,SUV
2019-06-19,KG 모빌리티,G4 렉스턴,2019,SUV
2019-06-19,현대자동차,싼타페(SANTAFE),2013,SUV
2019-06-19,기아,쏘렌토,2019,SUV
2019-06-19,르노코리아,QM6,2019,SUV
2019-06-19,기아,모하비,2009,SUV
2019-06-19,KG 모빌리티,티볼리 에어,2019,SUV
2019-06-20,현대자동차,싼타페(SANTAFE),2019,SUV
2019-06-20,기아,카니발,2015,MPV/미니밴
2019-06-21,현대자동차,싼타페,2000,SUV
2019-06-21,현대자동차,투싼(TUCSON),2016,SUV
2019-06-21,KG 모빌리티,티볼리,2019,SUV
2019-06-21,기아,쏘렌토,2011,SUV
2019-06-24,현대자동차,팰리세이드(PALISADE),2019,SUV
2019-06-24,현대자동차,그랜드 스타렉스(GRAND STAREX),2019,MPV/미니밴
2019-06-24,르노코리아,QM6,2019,SUV
2019-06-25,메르세데스 벤츠,GLK220 CDI 4Matic,2010,SUV
2019-06-26,KG 모빌리티,렉스턴스포츠,2019,SUV
2019-06-26,KG 모빌리티,티볼리,2016,SUV
2019-06-27,KG 모빌리티,렉스턴,2017,SUV
2019-06-27,KG 모빌리티,티볼리,2016,SUV
2019-06-27,현대자동차,투싼(TUCSON),2016,SUV
2019-06-27,르노코리아,QM6,2019,SUV
2019-06-27,기아,니로 하이브리드,2017,SUV
2019-06-27,KG 모빌리티,티볼리,2019,SUV
2019-06-27,현대자동차,싼타페(SANTAFE),2012,SUV
2019-06-28,기아,니로 EV,2019,SUV
2019-06-28,현대자동차,투싼(TUCSON),2016,SUV
2019-06-28,기아,카니발,2016,MPV/미니밴
2019-07-01,현대자동차,투싼(TUCSON),2016,SUV
2019-07-01,현대자동차,투싼(TUCSON),2016,SUV
2019-07-01,현대자동차,싼타페(SANTAFE),2019,SUV
2019-07-01,현대자동차,투싼(TUCSON),2016,SUV
2019-07-02,르노코리아,QM6,2019,SUV
2019-07-02,르노코리아,QM6,2019,SUV
2019-07-03,기아,스포티지,2018,SUV
2019-07-03,현대자동차,투싼(TUCSON),2016,SUV
2019-07-05,현대자동차,투싼(TUCSON),2016,SUV
2019-07-05,르노코리아,QM6,2017,SUV
2019-07-08,현대자동차,투싼(TUCSON),2016,SUV
2019-07-08,현대자동차,투싼(TUCSON),2016,SUV
2019-07-09,KG 모빌리티,티볼리,2016,SUV
2019-07-09,현대자동차,투싼(TUCSON),2016,SUV
2019-07-09,현대자동차,코나 일렉트릭 (KONA ELECTRIC),2019,SUV
2019-07-09,현대자동차,싼타페(SANTAFE),2013,SUV
2019-07-10,기아,니로 하이브리드,2020,SUV
2019-07-10,현대자동차,코나 일렉트릭 (KONA ELECTRIC),2019,SUV
2019-07-11,현대자동차,그랜드 스타렉스(GRAND STAREX),2019,MPV/미니밴
2019-07-12,토요타,토요타 RAV4 Hybrid AWD,2019,SUV
2019-07-12,현대자동차,싼타페(SANTAFE),2019,SUV
2019-07-12,기아,카니발,2017,MPV/미니밴
2019-07-12,KG 모빌리티,렉스턴스포츠,2019,SUV
2019-07-15,기아,그랜드 카니발,2009,MPV/미니밴
2019-07-15,기아,스포티지,2012,SUV
2019-07-16,기아,니로 하이브리드,2017,SUV
2019-07-16,기아,카니발,2015,MPV/미니밴
2019-07-17,현대자동차,투싼(TUCSON),2013,SUV
2019-07-19,현대자동차,그랜드 스타렉스(GRAND STAREX),2016,MPV/미니밴
2019-07-19,현대자동차,투싼(TUCSON),2016,SUV
2019-07-22,KG 모빌리티,티볼리,2020,SUV
2019-07-22,기아,카니발,2015,MPV/미니밴
2019-07-22,기아,쏘렌토,2010,SUV
2019-07-22,KG 모빌리티,티볼리,2020,SUV
2019-07-22,KG 모빌리티,티볼리,2020,SUV
2019-07-22,기아,니로 하이브리드,2017,SUV
2019-07-23,현대자동차,투싼(TUCSON),2016,SUV
2019-07-23,기아,카니발,2016,MPV/미니밴
2019-07-23,기아,카니발,2015,MPV/미니밴
2019-07-23,기아,쏘렌토,2015,SUV
2019-07-23,현대자동차,싼타페(SANTAFE),2013,SUV
2019-07-23,현대자동차,투싼(TUCSON),2016,SUV
2019-07-23,KG 모빌리티,티볼리,2020,SUV
2019-07-23,KG 모빌리티,티볼리,2020,SUV
2019-07-24,기아,카니발,2015,MPV/미니밴
2019-07-24,KG 모빌리티,티볼리,2020,SUV
2019-07-24,KG 모빌리티,티볼리,2020,SUV
2019-07-24,KG 모빌리티,티볼리,2020,SUV
2019-07-25,기아,카렌스,2014,MPV/미니밴
2019-07-25,KG 모빌리티,티볼리,2020,SUV
2019-07-25,KG 모빌리티,티볼리,2020,SUV
2019-07-25,KG 모빌리티,티볼리,2020,SUV
2019-07-25,현대자동차,투싼(TUCSON),2016,SUV
2019-07-25,KG 모빌리티,티볼리,2020,SUV
2019-07-25,KG 모빌리티,티볼리,2020,SUV
2019-07-26,르노코리아,QM6,2020,SUV
2019-07-26,르노코리아,QM6,2017,SUV
2019-07-26,현대자동차,투싼(TUCSON),2016,SUV
2019-07-26,KG 모빌리티,티볼리,2020,SUV
2019-07-26,기아,카니발,2015,MPV/미니밴
2019-07-26,KG 모빌리티,티볼리,2020,SUV
2019-07-29,KG 모빌리티,티볼리,2020,SUV
2019-07-29,현대자동차,싼타페(SANTAFE),2019,SUV
2019-07-29,KG 모빌리티,티볼리 에어,2019,SUV
2019-07-29,KG 모빌리티,렉스턴스포츠,2019,SUV
2019-07-29,르노코리아,QM6,2017,SUV
2019-07-30,현대자동차,투싼(TUCSON),2016,SUV
2019-07-30,현대자동차,코나 일렉트릭 (KONA ELECTRIC),2019,SUV
2019-07-30,기아,카니발,2017,MPV/미니밴
2019-07-30,KG 모빌리티,티볼리,2020,SUV
2019-07-30,기아,쏘렌토,2015,SUV
2019-07-30,기아,모하비,2018,SUV
2019-07-30,KG 모빌리티,티볼리 에어,2019,SUV
2019-07-30,기아,카니발,2016,MPV/미니밴
2019-07-31,KG 모빌리티,티볼리,2020,SUV
2019-07-31,KG 모빌리티,티볼리 에어,2019,SUV
2019-07-31,KG 모빌리티,렉스턴스포츠,2019,SUV
2019-07-31,기아,카니발,2017,MPV/미니밴
2019-07-31,르노코리아,QM3,2015,SUV
2019-08-01,KG 모빌리티,G4 렉스턴,2019,SUV
2019-08-01,기아,카니발,2019,MPV/미니밴
2019-08-02,기아,스포티지,2015,SUV
2019-08-02,현대자동차,투싼(TUCSON),2016,SUV
2019-08-02,기아,카니발,2015,MPV/미니밴
2019-08-02,르노코리아,QM3,2015,SUV
2019-08-05,현대자동차,투싼(TUCSON),2016,SUV
2019-08-05,KG 모빌리티,티볼리 에어,2019,SUV
2019-08-05,기아,카니발,2016,MPV/미니밴
2019-08-05,기아,모하비,2015,SUV
2019-08-06,KG 모빌리티,티볼리 에어,2019,SUV
2019-08-06,KG 모빌리티,티볼리,2020,SUV
2019-08-06,KG 모빌리티,티볼리 에어,2017,SUV
2019-08-06,KG 모빌리티,티볼리 에어,2019,SUV
2019-08-06,기아,니로 하이브리드,2017,SUV
2019-08-06,현대자동차,투싼(TUCSON),2016,SUV
2019-08-06,기아,카니발,2016,MPV/미니밴
2019-08-07,KG 모빌리티,티볼리 에어,2019,SUV
2019-08-07,현대자동차,코나 일렉트릭 (KONA ELECTRIC),2019,SUV
2019-08-07,KG 모빌리티,티볼리 에어,2017,SUV
2019-08-07,현대자동차,투싼(TUCSON),2013,SUV
2019-08-07,KG 모빌리티,티볼리,2019,SUV
2019-08-08,르노코리아,QM6,2017,SUV
2019-08-08,KG 모빌리티,티볼리 에어,2019,SUV
2019-08-08,기아,카니발,2016,MPV/미니밴
2019-08-08,기아,니로 EV,2019,SUV
2019-08-09,현대자동차,투싼(TUCSON),2016,SUV
2019-08-09,현대자동차,싼타페(SANTAFE),2003,SUV
2019-08-09,기아,카니발,2016,MPV/미니밴
2019-08-09,현대자동차,싼타페(SANTAFE),2013,SUV
